name,division,score,input
무주택기간,1년 미만,2,1
무주택기간,1년 이상 ~ 2년 미만,4,2
무주택기간,2년 이상 ~ 3년 미만,6,3
무주택기간,3년 이상 ~ 4년 미만,8,4
무주택기간,4년 이상 ~ 5년 미만,10,5
무주택기간,5년 이상 ~ 6년 미만,12,6
무주택기간,6년 이상 ~ 7년 미만,14,7
무주택기간,7년 이상 ~ 8년 미만,16,8
무주택기간,8년 이상 ~ 9년 미만,18,9
무주택기간,9년 이상 ~ 10년 미만,20,10
무주택기간,10년 이상 ~ 11년 미만,22,11
무주택기간,11년 이상 ~ 12년 미만,24,12
무주택기간,12년 이상 ~ 13년 미만,26,13
무주택기간,13년 이상 ~ 14년 미만,28,14
무주택기간,14년 이상 ~ 15년 미만,30,15
무주택기간,15년 이상,32,16
부양가족수,1명,10,1
부양가족수,2명,15,2
부양가족수,3명,20,3
부양가족수,4명,25,4
부양가족수,5명,30,5
부양가족수,6명 이상,35,6
입주자 저축 가입기간,6개월 이상 ~ 1년 미만,2,1
입주자 저축 가입기간,1년 이상 ~ 2년 미만,3,2
입주자 저축 가입기간,2년 이상 ~ 3년 미만,4,3
입주자 저축 가입기간,3년 이상 ~ 4년 미만,5,4
입주자 저축 가입기간,4년 이상 ~ 5년 미만,6,5
입주자 저축 가입기간,5년 이상 ~ 6년 미만,7,6
입주자 저축 가입기간,6년 이상 ~ 7년 미만,8,7
입주자 저축 가입기간,7년 이상 ~ 8년 미만,9,8
입주자 저축 가입기간,8년 이상 ~ 9년 미만,10,9
입주자 저축 가입기간,9년 이상 ~ 10년 미만,11,10
입주자 저축 가입기간,10년 이상 ~ 11년 미만,12,11
입주자 저축 가입기간,11년 이상 ~ 12년 미만,13,12
입주자 저축 가입기간,12년 이상 ~ 13년 미만,14,13
입주자 저축 가입기간,13년 이상 ~ 14년 미만,15,14
입주자 저축 가입기간,14년 이상 ~ 15년 미만,16,15
입주자 저축 가입기간,15년 이상,17,16
